,Latitude,Longitude
6498,35.383611,-119.333056
6499,30.183333,-92
6500,37.585,-107.691944
6501,40.701111,-74.009167
6502,48.104722,-119.720556
6503,42.625556,-82.534444
6504,41.5175,-81.733333
6505,29.939722,-81.338611
6506,48.958889,-119.411944
6508,18.461667,-66.107777
6510,0.0,-90.154722
6511,41.75,-87.835277
6512,35.866667,-90.566667
6513,27.633333,-96.216667
6514,28.27,-93.168334
6515,29.984444,-89.993611
6516,33.817778,-118.151667
6517,29.989444,-90.257778
6518,0.0,-91.075556
6519,41.602777,-109.075
6520,42.641666,-96.686666
6521,35.340833,-89.651944
6522,35.771389,-117.913056
6523,28.514722,-80.799166
6524,35.507222,-119.191944
6525,39.7,-105.019167
6527,30.978056,-98.455
6528,38.404444,-121.088333
6529,30.605833,-91.991944
6530,33.713889,-96.674167
6531,32.985833,-97.317778
6532,40.111111,-85.603889
6533,37.089722,-83.548333
6534,28.29,-93.704167
6535,26.116667,-81.703056
6536,29.660556,-91.324445
6537,39.116667,-121.6
6538,47.2825,-117.9175
6539,40.380278,-76.616111
6540,36.633056,-95.151389
6541,33.433333,-117.25
6542,29.573056,-95.801667
6543,36.422778,-121.343889
6544,34.328334,-92.350833
6545,58.564167,-134.533056
6546,39.486389,-109.157222
6547,33.900278,-117.667223
6548,41.838056,-87.603333
6549,41.875556,-91.852222
6550,38.994722,-79.145833
6551,36.565,-105.405
6552,26.234444,-80.100833
6553,45.536944,-106.955
6554,28.553333,-81.343889
6555,40.783611,-111.958333
6556,30.735277,-101.202778
6557,48.075,-109.2425
6558,42.926111,-98.223334
6559,41.790555,-123.388889
6560,53.9,-86.763889
6561,38.016667,-120.466667
6562,48.222778,-114.327223
6563,36.006111,-114.775556
6564,34.604722,-103.601111
6565,31.789444,-98.953889
6566,34.342222,-117.431389
6567,38.548611,-75.213889
6568,43.592222,-116.058889
6569,32.574445,-97.119445
6570,46.128889,-107.551111
6571,34.945833,-86.531667
6572,38.766667,-75.133333
6573,35.9225,-83.579445
6574,28.650556,-92.661944
6576,33.925278,-86.87
6577,33.905278,-85.55
6578,39.415833,-121.689444
6579,36.175,-96.151667
6580,47.949166,-97.176111
6581,42.8,-92.066667
6582,26.170834,-97.910278
6583,47.5275,-113.034166
6584,44.5575,-111.775
6586,41.640555,-123.276945
6587,45.175,-115.721111
6588,34.241944,-90.273056
6589,32.646111,-96.995833
6590,61.203056,-159.844444
6591,38.816667,-92.216667
6592,39.908889,-105.117223
6593,38.586111,-77.710556
6594,28.513889,-91.015278
6595,37.588889,-99.460556
6597,26.840833,-80.220278
6598,27.988889,-82.018611
6599,34.870834,-118.209167
6600,27.145833,-82.5
6601,38.083333,-104.433333
6602,45.553333,-94.073334
6603,44.224723,-89.530834
6604,46.9325,-3.318056
6605,70.492222,-148.703611
6606,33.041666,-116.966667
6608,42.481945,-114.471111
6609,42.905,-106.457778
6610,33.422778,-86.936111
6611,44.796111,-111.624723
6612,28.958056,-89.258889
6613,34.688611,-87.92
7104,46.041111,-120.849722
7756,37.231389,-121.665833
7764,33.642777,-111.8175
7770,35.605833,-100.960833
7771,37.332778,-121.819723
7772,64.658333,-148.316667
7773,33.175278,-86.309167
7778,32.954722,-111.766945
7785,39.834166,-119.354167
7786,44.351111,-68.661944
7789,62.866945,-143.598055
