,Make,Aircraft.damage,Number.of.Engines,Engine.Type,Weather.Condition,Broad.phase.of.flight
648,1,3,2,1,1,3
649,1,2,2,1,1,7
650,1,3,1,1,2,8
651,1,2,2,1,2,8
652,1,2,2,1,1,2
653,1,3,1,1,1,7
654,1,2,2,1,1,9
655,1,2,1,1,1,8
656,1,3,1,1,1,6
657,1,3,1,1,1,5
658,1,2,1,1,1,8
659,1,3,1,1,2,5
660,1,2,1,1,2,6
661,1,3,2,1,2,8
662,1,3,1,1,2,6
663,1,2,1,1,1,2
664,1,2,2,1,1,9
665,1,2,1,1,1,5
666,1,2,1,1,1,5
667,1,2,2,1,1,5
668,1,2,2,1,2,9
669,1,2,2,1,2,5
670,1,2,1,1,1,3
671,1,3,2,1,2,8
672,1,2,2,4,2,9
673,1,3,1,1,1,7
674,1,2,1,1,1,3
675,1,3,1,1,2,5
676,1,2,2,4,1,3
677,1,2,1,1,1,5
678,1,3,1,1,2,8
679,1,2,2,1,1,1
680,1,2,2,1,2,9
681,1,2,2,1,1,9
682,1,3,1,1,2,10
683,1,2,1,1,1,9
684,1,2,1,1,1,5
685,1,2,2,4,1,3
686,1,3,1,1,2,5
687,1,3,1,1,1,3
688,1,2,2,1,1,3
689,1,2,1,1,1,9
690,1,2,1,1,1,9
691,1,2,2,1,2,9
692,1,2,2,1,2,2
693,1,2,2,1,1,9
694,1,3,1,1,2,7
695,1,3,2,1,1,8
696,1,2,2,1,1,3
697,1,2,1,1,1,9
698,1,3,2,1,2,5
699,1,2,1,1,1,3
700,1,2,2,1,2,3
701,1,3,2,4,2,6
702,1,2,2,1,1,5
703,1,2,1,1,1,5
704,1,3,2,1,2,8
705,1,3,1,1,1,5
706,1,2,2,1,2,9
707,1,2,2,1,1,5
708,1,2,1,1,1,5
709,1,2,2,1,1,9
710,1,2,2,1,1,9
711,1,2,2,1,1,9
712,1,3,2,1,1,3
713,1,3,2,4,2,8
714,1,2,2,1,1,9
715,1,2,1,1,1,8
716,1,2,1,1,1,8
717,1,2,2,4,1,5
718,1,2,2,1,2,8
720,1,2,1,1,1,9
721,1,2,1,1,2,8
722,1,3,2,1,1,10
723,1,2,1,1,1,8
724,1,2,1,1,1,8
725,1,3,1,1,1,3
726,1,2,2,1,2,5
727,1,3,2,1,1,2
728,1,2,1,1,1,5
729,1,2,1,1,1,6
730,1,3,1,1,1,5
731,1,3,1,1,1,6
732,1,2,1,1,1,3
733,1,3,1,1,2,5
734,1,2,1,1,1,3
735,1,2,1,1,1,6
736,1,2,1,1,2,6
737,1,3,1,1,1,5
738,1,2,2,1,1,9
739,1,2,2,1,1,5
740,1,2,1,1,1,3
741,1,3,2,1,1,3
742,1,3,1,1,1,6
743,1,2,2,1,1,2
744,1,3,1,1,2,6
745,1,3,1,1,2,5
746,1,2,1,1,2,4
747,1,3,2,1,1,9
748,1,2,1,1,1,3
749,1,2,2,1,2,10
750,1,2,1,1,1,5
751,1,3,1,1,2,3
752,1,2,1,1,1,5
753,1,3,2,1,2,6
754,1,3,2,1,1,6
755,1,2,1,1,1,5
756,1,3,1,1,1,2
757,1,2,1,1,1,9
758,1,2,2,1,1,3
759,1,2,2,1,1,9
760,1,3,1,1,1,3
761,1,2,1,1,1,9
762,1,2,1,1,1,5
763,1,3,2,4,1,3
764,1,2,1,1,1,3
765,1,2,2,1,1,9
766,1,2,1,1,1,9
767,1,2,1,1,1,8
768,1,2,1,1,1,3
769,1,3,1,1,1,3
770,1,2,2,1,1,3
771,1,2,2,4,1,9
772,1,2,1,1,1,9
774,1,2,1,1,1,5
776,1,2,2,1,1,8
777,1,2,1,1,1,9
778,1,2,1,1,1,9
779,1,3,1,1,1,3
780,1,2,1,1,1,8
781,1,3,2,1,1,1
782,1,2,1,1,1,9
783,1,3,2,1,1,3
784,1,3,2,4,1,3
785,1,3,2,1,1,3
786,1,2,2,1,1,9
787,1,2,2,1,1,3
788,1,3,2,1,1,6
789,1,2,1,1,1,9
791,1,2,2,1,1,9
792,1,2,1,1,1,2
793,1,2,2,1,1,5
794,1,2,2,1,1,3
795,1,2,2,4,1,4
796,1,2,2,1,1,3
797,1,2,2,1,1,3
798,1,2,2,1,1,5
799,1,3,1,1,1,10
800,1,3,1,1,1,4
801,1,3,1,1,1,4
802,1,2,2,1,1,3
803,1,3,1,1,1,5
804,1,2,1,1,1,3
805,1,2,1,1,1,5
806,1,2,1,1,1,3
807,1,2,1,1,1,10
808,1,2,1,1,1,4
809,1,3,2,4,1,7
811,1,2,2,1,1,9
